county,precinct,office,district,party,candidate,votes,early_voting_paper,early_voting_ivo,election_day_paper,election_day_ivo,provisional
Hill,4,Commissioner of the General Land Office,,DEM,John Cook,206,60,26,96,23,1
Hill,4,Commissioner of the General Land Office,,LIB,Justin Knight,17,4,2,8,3,0
Hill,4,Commissioner of the General Land Office,,GRN,Valerie Alesi,6,2,0,3,1,0
Hill,4,Commissioner of Agriculture,,REP,Sid Miller,806,178,197,297,129,5
Hill,4,Commissioner of Agriculture,,DEM,Jim Hogan,241,67,35,113,25,1
Hill,4,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,17,2,2,9,4,0
Hill,4,Commissioner of Agriculture,,GRN,Kenneth Kendrick,10,2,1,6,1,0
Hill,4,Railroad Commissioner,,REP,Ryan Sitton,819,182,195,308,129,5
Hill,4,Railroad Commissioner,,DEM,Steve Brown,213,61,30,98,23,1
Hill,4,Railroad Commissioner,,LIB,Mark A. Miller,32,4,6,16,6,0
Hill,4,Railroad Commissioner,,GRN,Martina Salinas,5,0,1,2,2,0
Hill,4,State Representative,8,REP,Byron Cook,902,193,221,338,145,5
Hill,4,State Representative,8,LIB,John Wilford,68,14,9,34,10,1
Hill,5,Registered Voters,,,,546,,,,,
Hill,5,Ballots Cast,,,,259,50,50,108,51,0
Hill,5,Straight Party,,,Republican,115,19,21,49,26,0
Hill,5,Straight Party,,,Democratic,21,6,2,11,2,0
Hill,5,Straight Party,,,Libertarian,1,0,0,0,1,0
Hill,5,Straight Party,,,Green,0,0,0,0,0,0
Hill,5,U.S. Senate,,REP,John Cornyn,212,40,42,87,43,0
Hill,5,U.S. Senate,,DEM,David M. Alameel,31,7,5,16,3,0
Hill,5,U.S. Senate,,LIB,Rebecca Paddock,11,2,3,4,2,0
Hill,5,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,0,0,0,0,0
Hill,5,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Hill,5,U.S. House,25,REP,Roger Williams,218,42,43,91,42,0
Hill,5,U.S. House,25,DEM,Marco Montoya,27,6,5,13,3,0
Hill,5,U.S. House,25,LIB,John Betz,10,2,2,4,2,0
Hill,5,Governor,,REP,Greg Abbott,209,41,40,86,42,0
Hill,5,Governor,,DEM,Wendy R. Davis,37,6,7,17,7,0
Hill,5,Governor,,LIB,Kathie Glass,9,2,1,4,2,0
Hill,5,Governor,,GRN,Brandon Parmer,0,0,0,0,0,0
Hill,5,Governor,,,Write-ins,0,0,0,0,0,0
Hill,5,Lieutenant Governor,,REP,Dan Patrick,212,39,42,88,43,0
Hill,5,Lieutenant Governor,,DEM,Leticia Van de Putte,35,8,5,16,6,0
Hill,5,Lieutenant Governor,,LIB,Robert D. Butler,7,2,2,2,1,0
Hill,5,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0,0,0,0
Hill,5,Attorney General,,REP,Ken Paxton,203,39,42,84,38,0
Hill,5,Attorney General,,DEM,Sam Houston,42,9,6,18,9,0
Hill,5,Attorney General,,LIB,Jamie Balagia,9,2,2,4,1,0
Hill,5,Attorney General,,GRN,Jamar Osborne,1,0,0,1,0,0
Hill,5,Comptroller of Public Accounts,,REP,Glenn Hegar,201,40,39,83,39,0
Hill,5,Comptroller of Public Accounts,,DEM,Mike Collier,45,9,10,20,6,0
Hill,5,Comptroller of Public Accounts,,LIB,Ben Sanders,8,1,1,4,2,0
Hill,5,Comptroller of Public Accounts,,GRN,Deb Shafto,0,0,0,0,0,0
Hill,5,Commissioner of the General Land Office,,REP,George P. Bush,196,35,41,79,41,0
Hill,5,Commissioner of the General Land Office,,DEM,John Cook,44,11,6,21,6,0
Hill,5,Commissioner of the General Land Office,,LIB,Justin Knight,14,3,3,6,2,0
Hill,5,Commissioner of the General Land Office,,GRN,Valerie Alesi,0,0,0,0,0,0
Hill,5,Commissioner of Agriculture,,REP,Sid Miller,201,38,42,83,38,0
Hill,5,Commissioner of Agriculture,,DEM,Jim Hogan,44,10,7,19,8,0
Hill,5,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,7,1,1,4,1,0
Hill,5,Commissioner of Agriculture,,GRN,Kenneth Kendrick,3,1,0,1,1,0
Hill,5,Railroad Commissioner,,REP,Ryan Sitton,190,37,38,79,36,0
Hill,5,Railroad Commissioner,,DEM,Steve Brown,49,11,7,23,8,0
Hill,5,Railroad Commissioner,,LIB,Mark A. Miller,10,1,3,4,2,0
Hill,5,Railroad Commissioner,,GRN,Martina Salinas,2,0,2,0,0,0
Hill,5,State Representative,8,REP,Byron Cook,215,42,43,88,42,0
Hill,5,State Representative,8,LIB,John Wilford,21,4,5,9,3,0
Hill,6,Registered Voters,,,,410,,,,,
Hill,6,Ballots Cast,,,,192,34,27,93,38,0
Hill,6,Straight Party,,,Republican,79,12,15,30,22,0
Hill,6,Straight Party,,,Democratic,20,7,0,12,1,0
Hill,6,Straight Party,,,Libertarian,0,0,0,0,0,0
Hill,6,Straight Party,,,Green,0,0,0,0,0,0
Hill,6,U.S. Senate,,REP,John Cornyn,140,22,26,60,32,0
Hill,6,U.S. Senate,,DEM,David M. Alameel,43,12,1,27,3,0
Hill,6,U.S. Senate,,LIB,Rebecca Paddock,2,0,0,1,1,0
Hill,6,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",3,0,0,2,1,0
Hill,6,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Hill,6,U.S. House,25,REP,Roger Williams,141,20,25,61,35,0
Hill,6,U.S. House,25,DEM,Marco Montoya,41,12,1,25,3,0
Hill,6,U.S. House,25,LIB,John Betz,3,1,0,2,0,0
Hill,6,Governor,,REP,Greg Abbott,135,21,25,57,32,0
Hill,6,Governor,,DEM,Wendy R. Davis,53,12,1,34,6,0
Hill,6,Governor,,LIB,Kathie Glass,0,0,0,0,0,0
Hill,6,Governor,,GRN,Brandon Parmer,1,0,1,0,0,0
Hill,6,Governor,,,Write-ins,0,0,0,0,0,0
Hill,6,Lieutenant Governor,,REP,Dan Patrick,149,25,26,63,35,0
Hill,6,Lieutenant Governor,,DEM,Leticia Van de Putte,35,8,1,23,3,0
Hill,6,Lieutenant Governor,,LIB,Robert D. Butler,6,1,0,5,0,0
Hill,6,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0,0,0,0
Hill,6,Attorney General,,REP,Ken Paxton,140,22,25,59,34,0
Hill,6,Attorney General,,DEM,Sam Houston,47,12,1,30,4,0
Hill,6,Attorney General,,LIB,Jamie Balagia,0,0,0,0,0,0
Hill,6,Attorney General,,GRN,Jamar Osborne,0,0,0,0,0,0
Hill,6,Comptroller of Public Accounts,,REP,Glenn Hegar,140,21,25,61,33,0
Hill,6,Comptroller of Public Accounts,,DEM,Mike Collier,41,12,1,24,4,0
Hill,6,Comptroller of Public Accounts,,LIB,Ben Sanders,2,1,0,1,0,0
Hill,6,Comptroller of Public Accounts,,GRN,Deb Shafto,2,0,0,1,1,0
Hill,6,Commissioner of the General Land Office,,REP,George P. Bush,133,18,25,56,34,0
Hill,6,Commissioner of the General Land Office,,DEM,John Cook,41,11,1,26,3,0
Hill,6,Commissioner of the General Land Office,,LIB,Justin Knight,10,3,1,5,1,0
Hill,6,Commissioner of the General Land Office,,GRN,Valerie Alesi,0,0,0,0,0,0
Hill,6,Commissioner of Agriculture,,REP,Sid Miller,139,22,24,61,32,0
Hill,6,Commissioner of Agriculture,,DEM,Jim Hogan,39,10,2,23,4,0
Hill,6,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,4,1,0,1,2,0
Hill,6,Commissioner of Agriculture,,GRN,Kenneth Kendrick,3,0,0,3,0,0
Hill,6,Railroad Commissioner,,REP,Ryan Sitton,138,22,24,61,31,0
Hill,6,Railroad Commissioner,,DEM,Steve Brown,42,11,1,26,4,0
Hill,6,Railroad Commissioner,,LIB,Mark A. Miller,5,1,1,1,2,0
Hill,6,Railroad Commissioner,,GRN,Martina Salinas,1,0,0,1,0,0
Hill,6,State Representative,8,REP,Byron Cook,152,22,27,66,37,0
Hill,6,State Representative,8,LIB,John Wilford,24,8,0,16,0,0
Hill,7,Registered Voters,,,,517,,,,,
Hill,7,Ballots Cast,,,,245,25,18,130,72,0
Hill,7,Straight Party,,,Republican,103,15,8,49,31,0
Hill,7,Straight Party,,,Democratic,16,1,0,10,5,0
Hill,7,Straight Party,,,Libertarian,0,0,0,0,0,0
Hill,7,Straight Party,,,Green,0,0,0,0,0,0
Hill,7,U.S. Senate,,REP,John Cornyn,197,19,18,103,57,0
Hill,7,U.S. Senate,,DEM,David M. Alameel,36,5,0,20,11,0
Hill,7,U.S. Senate,,LIB,Rebecca Paddock,4,0,0,3,1,0
Hill,7,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,0,0,1,0,0
Hill,7,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Hill,7,U.S. House,25,REP,Roger Williams,191,19,16,98,58,0
Hill,7,U.S. House,25,DEM,Marco Montoya,36,6,0,21,9,0
Hill,7,U.S. House,25,LIB,John Betz,7,0,0,5,2,0
Hill,7,Governor,,REP,Greg Abbott,199,20,18,101,60,0
Hill,7,Governor,,DEM,Wendy R. Davis,39,5,0,23,11,0
Hill,7,Governor,,LIB,Kathie Glass,4,0,0,4,0,0
Hill,7,Governor,,GRN,Brandon Parmer,2,0,0,1,1,0
Hill,7,Governor,,,Write-ins,0,0,0,0,0,0
Hill,7,Lieutenant Governor,,REP,Dan Patrick,179,18,16,91,54,0
Hill,7,Lieutenant Governor,,DEM,Leticia Van de Putte,53,7,2,28,16,0
Hill,7,Lieutenant Governor,,LIB,Robert D. Butler,7,0,0,6,1,0
Hill,7,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,0,0,1,0,0
Hill,7,Attorney General,,REP,Ken Paxton,187,19,18,93,57,0
Hill,7,Attorney General,,DEM,Sam Houston,46,6,0,29,11,0
Hill,7,Attorney General,,LIB,Jamie Balagia,3,0,0,2,1,0
Hill,7,Attorney General,,GRN,Jamar Osborne,1,0,0,1,0,0
Hill,7,Comptroller of Public Accounts,,REP,Glenn Hegar,176,19,16,89,52,0
Hill,7,Comptroller of Public Accounts,,DEM,Mike Collier,48,6,1,27,14,0
Hill,7,Comptroller of Public Accounts,,LIB,Ben Sanders,4,0,0,3,1,0
Hill,7,Comptroller of Public Accounts,,GRN,Deb Shafto,2,0,0,1,1,0
Hill,7,Commissioner of the General Land Office,,REP,George P. Bush,188,19,18,94,57,0
Hill,7,Commissioner of the General Land Office,,DEM,John Cook,42,6,0,23,13,0
Hill,7,Commissioner of the General Land Office,,LIB,Justin Knight,6,0,0,5,1,0
Hill,7,Commissioner of the General Land Office,,GRN,Valerie Alesi,1,0,0,1,0,0
Hill,7,Commissioner of Agriculture,,REP,Sid Miller,184,19,16,92,57,0
Hill,7,Commissioner of Agriculture,,DEM,Jim Hogan,45,6,2,26,11,0
Hill,7,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,3,0,0,3,0,0
Hill,7,Commissioner of Agriculture,,GRN,Kenneth Kendrick,3,0,0,2,1,0
Hill,7,Railroad Commissioner,,REP,Ryan Sitton,178,19,17,88,54,0
Hill,7,Railroad Commissioner,,DEM,Steve Brown,47,6,0,27,14,0
Hill,7,Railroad Commissioner,,LIB,Mark A. Miller,6,0,0,5,1,0
Hill,7,Railroad Commissioner,,GRN,Martina Salinas,3,0,0,2,1,0
Hill,7,State Representative,8,REP,Byron Cook,196,19,16,102,59,0
Hill,7,State Representative,8,LIB,John Wilford,21,5,0,12,4,0
Hill,8,Registered Voters,,,,339,,,,,
Hill,8,Ballots Cast,,,,146,24,20,74,28,0
Hill,8,Straight Party,,,Republican,48,8,7,21,12,0
Hill,8,Straight Party,,,Democratic,12,3,1,6,2,0
Hill,8,Straight Party,,,Libertarian,1,0,0,1,0,0
Hill,8,Straight Party,,,Green,0,0,0,0,0,0
Hill,8,U.S. Senate,,REP,John Cornyn,113,18,17,58,20,0
Hill,8,U.S. Senate,,DEM,David M. Alameel,20,5,2,10,3,0
Hill,8,U.S. Senate,,LIB,Rebecca Paddock,4,0,0,2,2,0
Hill,8,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",4,1,1,2,0,0
Hill,8,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Hill,8,U.S. House,25,REP,Roger Williams,112,18,15,56,23,0
Hill,8,U.S. House,25,DEM,Marco Montoya,23,5,4,12,2,0
Hill,8,U.S. House,25,LIB,John Betz,3,0,0,1,2,0
Hill,8,Governor,,REP,Greg Abbott,109,18,15,56,20,0
Hill,8,Governor,,DEM,Wendy R. Davis,32,6,4,14,8,0
Hill,8,Governor,,LIB,Kathie Glass,1,0,0,1,0,0
Hill,8,Governor,,GRN,Brandon Parmer,1,0,0,1,0,0
Hill,8,Governor,,,Write-ins,0,0,0,0,0,0
Hill,8,Lieutenant Governor,,REP,Dan Patrick,111,18,16,55,22,0
Hill,8,Lieutenant Governor,,DEM,Leticia Van de Putte,28,6,4,14,4,0
Hill,8,Lieutenant Governor,,LIB,Robert D. Butler,4,0,0,2,2,0
Hill,8,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,0,0,1,0,0
Hill,8,Attorney General,,REP,Ken Paxton,108,19,16,53,20,0
Hill,8,Attorney General,,DEM,Sam Houston,31,5,4,17,5,0
Hill,8,Attorney General,,LIB,Jamie Balagia,3,0,0,1,2,0
Hill,8,Attorney General,,GRN,Jamar Osborne,1,0,0,1,0,0
Hill,8,Comptroller of Public Accounts,,REP,Glenn Hegar,106,19,14,52,21,0
Hill,8,Comptroller of Public Accounts,,DEM,Mike Collier,24,5,3,13,3,0
Hill,8,Comptroller of Public Accounts,,LIB,Ben Sanders,7,0,2,2,3,0
Hill,8,Comptroller of Public Accounts,,GRN,Deb Shafto,2,0,0,2,0,0
Hill,8,Commissioner of the General Land Office,,REP,George P. Bush,110,19,14,56,21,0
Hill,8,Commissioner of the General Land Office,,DEM,John Cook,26,5,4,13,4,0
Hill,8,Commissioner of the General Land Office,,LIB,Justin Knight,5,0,2,2,1,0
Hill,8,Commissioner of the General Land Office,,GRN,Valerie Alesi,3,0,0,2,1,0
Hill,8,Commissioner of Agriculture,,REP,Sid Miller,109,19,13,55,22,0
Hill,8,Commissioner of Agriculture,,DEM,Jim Hogan,26,5,5,13,3,0
Hill,8,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,3,0,0,2,1,0
Hill,8,Commissioner of Agriculture,,GRN,Kenneth Kendrick,5,0,2,2,1,0
Hill,8,Railroad Commissioner,,REP,Ryan Sitton,113,19,16,55,23,0
Hill,8,Railroad Commissioner,,DEM,Steve Brown,25,5,3,15,2,0
Hill,8,Railroad Commissioner,,LIB,Mark A. Miller,4,0,1,2,1,0
Hill,8,Railroad Commissioner,,GRN,Martina Salinas,1,0,0,0,1,0
Hill,8,State Representative,8,REP,Byron Cook,117,19,15,58,25,0
Hill,8,State Representative,8,LIB,John Wilford,13,1,5,4,3,0
Hill,9,Registered Voters,,,,550,,,,,
Hill,9,Ballots Cast,,,,211,28,44,98,41,0
Hill,9,Straight Party,,,Republican,93,15,21,41,16,0
Hill,9,Straight Party,,,Democratic,25,2,3,9,11,0
Hill,9,Straight Party,,,Libertarian,0,0,0,0,0,0
Hill,9,Straight Party,,,Green,0,0,0,0,0,0
Hill,9,U.S. Senate,,REP,John Cornyn,157,23,35,73,26,0
Hill,9,U.S. Senate,,DEM,David M. Alameel,42,5,7,17,13,0
Hill,9,U.S. Senate,,LIB,Rebecca Paddock,5,0,2,3,0,0
Hill,9,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,0,0,1,0,0
Hill,9,U.S. Senate,,,Write-ins,0,0,0,0,0,0
Hill,9,U.S. House,25,REP,Roger Williams,156,22,35,74,25,0
Hill,9,U.S. House,25,DEM,Marco Montoya,43,6,6,18,13,0
Hill,9,U.S. House,25,LIB,John Betz,3,0,1,2,0,0
Hill,9,Governor,,REP,Greg Abbott,148,21,34,69,24,0
Hill,9,Governor,,DEM,Wendy R. Davis,57,7,8,27,15,0
Hill,9,Governor,,LIB,Kathie Glass,3,0,2,1,0,0
Hill,9,Governor,,GRN,Brandon Parmer,0,0,0,0,0,0
Hill,9,Governor,,,Write-ins,0,0,0,0,0,0
Hill,9,Lieutenant Governor,,REP,Dan Patrick,160,22,38,74,26,0
Hill,9,Lieutenant Governor,,DEM,Leticia Van de Putte,43,6,4,20,13,0
Hill,9,Lieutenant Governor,,LIB,Robert D. Butler,4,0,2,2,0,0
Hill,9,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0,0,0,0
Hill,9,Attorney General,,REP,Ken Paxton,155,23,35,73,24,0
Hill,9,Attorney General,,DEM,Sam Houston,46,5,8,18,15,0
Hill,9,Attorney General,,LIB,Jamie Balagia,4,0,1,3,0,0
Hill,9,Attorney General,,GRN,Jamar Osborne,0,0,0,0,0,0
Hill,9,Comptroller of Public Accounts,,REP,Glenn Hegar,151,23,32,72,24,0
Hill,9,Comptroller of Public Accounts,,DEM,Mike Collier,42,4,9,16,13,0
Hill,9,Comptroller of Public Accounts,,LIB,Ben Sanders,8,1,2,5,0,0
Hill,9,Comptroller of Public Accounts,,GRN,Deb Shafto,1,0,0,1,0,0
Hill,9,Commissioner of the General Land Office,,REP,George P. Bush,153,21,34,73,25,0
Hill,9,Commissioner of the General Land Office,,DEM,John Cook,46,6,8,18,14,0
Hill,9,Commissioner of the General Land Office,,LIB,Justin Knight,5,1,2,2,0,0
Hill,9,Commissioner of the General Land Office,,GRN,Valerie Alesi,1,0,0,1,0,0
Hill,9,Commissioner of Agriculture,,REP,Sid Miller,155,21,36,73,25,0
Hill,9,Commissioner of Agriculture,,DEM,Jim Hogan,46,6,8,18,14,0
Hill,9,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,4,1,0,3,0,0
Hill,9,Commissioner of Agriculture,,GRN,Kenneth Kendrick,0,0,0,0,0,0
Hill,9,Railroad Commissioner,,REP,Ryan Sitton,155,23,33,73,26,0
Hill,9,Railroad Commissioner,,DEM,Steve Brown,40,4,9,15,12,0
Hill,9,Railroad Commissioner,,LIB,Mark A. Miller,7,1,1,5,0,0
Hill,9,Railroad Commissioner,,GRN,Martina Salinas,1,0,1,0,0,0
Hill,9,State Representative,8,REP,Byron Cook,166,24,38,77,27,0
Hill,9,State Representative,8,LIB,John Wilford,16,1,4,5,6,0
